video,participant,avg_motion,variability,frequency
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_1\E1T1\P1_E1T1_45.mp4,Participant_1,0.8526832755379244,0.25072890471173587,79
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_1\E1T1\P1_E1T1_90.mp4,Participant_1,1.2330843183290154,0.28461480455444393,84
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_1\E1T2\P1_E1T2_45.mp4,Participant_1,1.2218818834092882,0.2297300275435412,82
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_1\E1T2\P1_E1T2_90.mp4,Participant_1,1.1369419976128472,0.18292369607520248,90
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_1\E1T3\P1_E1T3_45.mp4,Participant_1,1.1323962273848684,0.2257754972100251,80
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_1\E1T3\P1_E1T3_90.mp4,Participant_1,1.0703710478211346,0.17199650160714364,81
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_1\E1T4\P1_E1T4_45.mp4,Participant_1,1.1794950733229905,0.21925882003713892,87
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_1\E1T4\P1_E1T4_90.mp4,Participant_1,1.027685626408886,0.159376913454307,81
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_1\E1T5\P1_E1T5_45.mp4,Participant_1,1.0938403038668791,0.22689896387460182,83
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_1\E1T5\P1_E1T5_90.mp4,Participant_1,1.0433828563904495,0.42540834771245906,76
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_1\E1T6\P1_E1T6_45.mp4,Participant_1,1.110917062601581,0.23067163497084645,79
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_1\E1T6\P1_E1T6_90.mp4,Participant_1,0.9267738823784722,0.2395431572182978,84
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_1\E1_Alternative_Clothing\P1_E1T1_45_ALT.mp4,Participant_1,2.0995005144936014,0.2688243644460015,83
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_1\E1_Alternative_Clothing\P1_E1T1_90_ALT.mp4,Participant_1,2.0315907069830246,0.22381579574500787,96
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_1\E1_Alternative_Clothing\P1_E1T2_45_ALT.mp4,Participant_1,2.1163885576571637,0.26299389703077025,82
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_1\E1_Alternative_Clothing\P1_E1T2_90_ALT.mp4,Participant_1,2.0686347191220236,0.21759110755897995,94
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_2\E2T1\P1_E2T1_45.mp4,Participant_1,1.0975474471275253,0.34201247634611104,68
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_2\E2T1\P1_E2T1_90.mp4,Participant_1,1.2622336868375366,0.42307783513215275,91
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_2\E2T2\P1_E2T2_45.mp4,Participant_1,1.1223123804474384,0.3342653834132503,67
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_2\E2T2\P1_E2T2_90.mp4,Participant_1,1.3324889121043282,0.27536131956298043,82
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_2\E2T3\P1_E2T3_45.mp4,Participant_1,1.0013092483299366,0.3563999285652236,69
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_2\E2T3\P1_E2T3_90.mp4,Participant_1,1.2623547119836185,0.3194836600073196,97
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_2\E2T4\P1_E2T4_45.mp4,Participant_1,1.1081585749513447,0.3331829861173607,60
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_2\E2T4\P1_E2T4_90.mp4,Participant_1,1.3212344111689815,0.29701240706517307,82
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_2\E2T5\P1_E2T5_45.mp4,Participant_1,0.7899586234233277,0.3369352260903864,154
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_2\E2T5\P1_E2T5_90.mp4,Participant_1,1.3079096836419755,0.28416264102571914,83
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_2\E2T6\P1_E2T6_45.mp4,Participant_1,1.0750267425810904,0.33279944763348934,61
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_2\E2T6\P1_E2T6_90.mp4,Participant_1,1.3248956491701707,0.30868925080210147,83
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_2\E2_Alternative_Clothing\P1_E2T1_45_ALT.mp4,Participant_1,1.2781791359806265,0.22115043007064838,65
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_2\E2_Alternative_Clothing\P1_E2T1_90_ALT.mp4,Participant_1,1.1584370195463654,0.1885337050401447,86
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_2\E2_Alternative_Clothing\P1_E2T2_45_ALT.mp4,Participant_1,1.345937983705656,0.22477504009356108,69
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_2\E2_Alternative_Clothing\P1_E2T2_90_ALT.mp4,Participant_1,1.1554640644728535,0.20782107707203049,98
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_3\E3T1\P1_E3T1_Front.mp4,Participant_1,2.0091837600954476,1.3848192524602776,78
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_3\E3T1\P1_E3T1_Rear.mp4,Participant_1,1.4166541970486113,0.6798093588155673,105
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_3\E3T2\P1_E3T2_Front.mp4,Participant_1,1.7444092609366613,1.2122831239315643,80
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_3\E3T2\P1_E3T2_Rear.mp4,Participant_1,1.7280296034817788,0.6859147572405887,90
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_3\E3T3\P1_E3T3_Front.mp4,Participant_1,1.9271857200584979,1.4190505709189123,79
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_3\E3T3\P1_E3T3_Rear.mp4,Participant_1,1.4723194934475807,0.7245102549822492,82
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_3\E3T4\P1_E3T4_Front.mp4,Participant_1,2.2282057301226748,1.8950887062884652,79
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_3\E3T4\P1_E3T4_Rear.mp4,Participant_1,1.6148754022696477,0.659461826046824,82
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_3\E3T5\P1_E3T5_Front.mp4,Participant_1,2.101454586226852,1.6979193368151821,75
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_3\E3T5\P1_E3T5_Rear.mp4,Participant_1,1.5455729272527101,0.6784085346531893,89
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_3\E3T6\P1_E3T6_Front.mp4,Participant_1,2.216602934191562,1.5937320609583483,73
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_3\E3T6\P1_E3T6_Rear.mp4,Participant_1,1.666864970439189,1.1262119331362461,83
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_3\E3_Alternative_Clothing\P1_E3T1_Front_ALT.mp4,Participant_1,1.230745520610755,1.6059769082036548,54
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_3\E3_Alternative_Clothing\P1_E3T1_Rear_ALT.mp4,Participant_1,2.4881964049080785,1.8550501578754879,74
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_3\E3_Alternative_Clothing\P1_E3T2_Front_ALT.mp4,Participant_1,2.469222935978912,1.5866884712502687,84
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_1\Experiment_3\E3_Alternative_Clothing\P1_E3T2_Rear_ALT.mp4,Participant_1,2.1860790913259955,2.6032943022576007,73
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_1\E1T1\P2_E1T1_45.mp4,Participant_2,1.5867952724358976,0.20128353645330205,77
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_1\E1T1\P2_E1T1_90.mp4,Participant_2,1.511497784993261,0.2688681282213908,82
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_1\E1T2\P2_E1T2_45.mp4,Participant_2,1.0668635594729343,0.278753330785591,68
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_1\E1T2\P2_E1T2_90.mp4,Participant_2,1.5319538543089708,0.3126238080573322,92
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_1\E1T3\P2_E1T3_45.mp4,Participant_2,0.9818514270098471,0.31287160962161686,56
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_1\E1T3\P2_E1T3_90.mp4,Participant_2,1.4984686085972851,0.28772640251400494,73
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_1\E1T4\P2_E1T4_45.mp4,Participant_2,0.9445784738556601,0.2766128129481069,65
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_1\E1T4\P2_E1T4_90.mp4,Participant_2,1.474940689160628,0.315131684774045,74
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_1\E1T5\P2_E1T5_45.mp4,Participant_2,1.548609179023172,0.33750425638988935,74
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_1\E1T5\P2_E1T5_90.mp4,Participant_2,1.5307709846719664,0.2920432798942989,78
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_1\E1T6\P2_E1T6_45.mp4,Participant_2,1.5236610243055557,0.20746796603497156,82
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_1\E1T6\P2_E1T6_90.mp4,Participant_2,1.4933076110810484,0.33808776059378354,74
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_1\E1_Alternative_Clothing\P2_E1T1_45_ALT.mp4,Participant_2,1.3477214971985483,0.29802125607600854,100
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_1\E1_Alternative_Clothing\P2_E1T1_90_ALT.mp4,Participant_2,1.4073523072522094,0.3369064603247836,97
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_1\E1_Alternative_Clothing\P2_E1T2_45_ALT.mp4,Participant_2,1.1466100109551396,0.13303225442904573,78
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_1\E1_Alternative_Clothing\P2_E1T2_90_ALT.mp4,Participant_2,1.463293278902897,0.26397284146532396,84
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_2\E2T1\P2_E2T1_45.mp4,Participant_2,1.227341728670635,0.19382541717545357,70
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_2\E2T1\P2_E2T1_90.mp4,Participant_2,1.1679018869308095,0.29843869559287134,65
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_2\E2T2\P2_E2T2_45.mp4,Participant_2,1.4244485559425204,0.37078143778419653,64
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_2\E2T2\P2_E2T2_90.mp4,Participant_2,0.886492435515873,0.35084564737866203,163
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_2\E2T3\P2_E2T3_45.mp4,Participant_2,1.196878417643879,0.2887095677502797,72
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_2\E2T3\P2_E2T3_90.mp4,Participant_2,1.1707077586894132,0.4176691362493523,58
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_2\E2T4\P2_E2T4_45.mp4,Participant_2,1.4412783433291245,0.2597920420629759,73
C:\Users\Paula\.cache\kagglehub\datasets\salmon1\demo-gait-video\versions\3\Participant_2\Experiment_2\E2T4\P2_E2T4_90.mp4,Participant_2,1.3595838975694443,0.2981725722502364,58
